Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,92.1,92.66,91.61,92.39,92.39,50130000,,,,,,,,,,50130000.0,,,
2020-01-02,93.75,94.9,93.21,94.9,94.9,80580000,,,,,,,,,,130710000.0,,,
2020-01-03,93.22,94.31,93.22,93.75,93.75,75288000,,,,,,,,,,55422000.0,,,
2020-01-06,93.0,95.18,93.0,95.14,95.14,81236000,,,,,,,,,,136658000.0,,,
2020-01-07,95.22,95.69,94.6,95.34,95.34,80898000,94.31,94.31,,,,,,,,217556000.0,,,
2020-01-08,94.9,95.55,94.32,94.6,94.6,70160000,94.75,94.4,,,,60.92,,,,147396000.0,,,
2020-01-09,95.49,95.89,94.79,95.05,95.05,63346000,94.78,94.62,,,,66.49,,,,210742000.0,,,
2020-01-10,95.27,95.35,94.0,94.16,94.16,57074000,94.86,94.47,,,,49.21,,,,153668000.0,,,
2020-01-13,94.57,94.9,94.04,94.57,94.57,55616000,94.74,94.5,,,,55.75,,,,209284000.0,,,
2020-01-14,94.29,94.36,92.93,93.47,93.47,68818000,94.37,94.16,,,,38.93,,,,140466000.0,,,
2020-01-15,93.61,93.94,92.75,93.1,93.1,57932000,94.07,93.8,,,,34.51,,,,82534000.0,,,
2020-01-16,94.15,94.28,93.3,93.9,93.9,53190000,93.84,93.84,,,,49.79,,,,135724000.0,,,
2020-01-17,94.29,94.33,92.86,93.24,93.24,79946000,93.65,93.64,,,,40.08,,,,55778000.0,,,
2020-01-21,93.25,94.71,93.0,94.6,94.6,74156000,93.66,93.96,,,,60.13,,,,129934000.0,,,
2020-01-22,94.8,95.12,94.17,94.37,94.37,64326000,93.84,94.1,,,,56.22,,,,65608000.0,,21.48,14.98
2020-01-23,94.26,94.5,93.64,94.23,94.23,49692000,94.07,94.14,,,,53.46,,,,15916000.0,,20.01,18.17
2020-01-24,94.57,94.75,92.37,93.08,93.08,75324000,93.9,93.79,,,,35.91,,,,-59408000.0,,16.62,24.11
2020-01-27,91.0,92.05,90.77,91.42,91.42,70570000,93.54,93.0,,,,22.51,,,,-129978000.0,,14.12,30.92
2020-01-28,92.03,92.91,91.5,92.66,92.66,56160000,93.15,92.89,,,,42.56,,,,-73818000.0,,18.21,28.0
2020-01-29,93.2,93.74,92.75,92.9,92.9,41760000,92.86,92.89,,,,45.89,95.88,91.81,93.84,-32058000.0,,22.27,26.08
2020-01-30,92.9,93.64,92.53,93.53,93.53,126548000,92.72,93.1,,,,54.68,95.83,91.97,93.9,94490000.0,,20.69,25.64
2020-01-31,102.57,102.79,100.11,100.44,100.44,311346000,94.19,95.55,,,,85.88,97.61,90.75,94.18,405836000.0,,51.03,15.68
2020-02-03,100.53,102.43,100.01,100.21,100.21,117834000,95.95,97.1,,,,83.53,98.81,90.19,94.5,288002000.0,,46.01,14.55
2020-02-04,101.49,102.99,100.77,102.48,102.48,105786000,97.91,98.9,,,,87.75,100.41,89.33,94.87,393788000.0,,43.22,12.97
2020-02-05,103.55,103.55,101.6,101.99,101.99,87524000,99.73,99.93,,,,82.08,101.55,88.85,95.2,306264000.0,,42.12,11.98
2020-02-06,102.05,102.82,101.24,102.51,102.51,63660000,101.53,100.79,2.8,,,83.49,102.69,88.5,95.6,369924000.0,,39.51,12.66
